mlp apis malgan tested against dt: 310 benign files and 46 malicious files | 87.07865168539325% bypass
mlp apis malgan tested against rf: 356 benign files and 0 malicious files | 100.0% bypass
mlp apis malgan tested against svm: 353 benign files and 3 malicious files | 99.15730337078652% bypass
mlp apis malgan tested against knn: 356 benign files and 0 malicious files | 100.0% bypass
mlp apis malgan tested against gnb: 188 benign files and 168 malicious files | 52.80898876404494% bypass
mlp apis malgan tested against lr: 355 benign files and 1 malicious files | 99.71910112359551% bypass
mlp apis malgan tested against ensemble: 355 benign files and 1 malicious files | 99.71910112359551% bypass
dt apis malgan tested against mlp: 341 benign files and 15 malicious files | 95.78651685393258% bypass
dt apis malgan tested against rf: 342 benign files and 14 malicious files | 96.06741573033707% bypass
dt apis malgan tested against svm: 263 benign files and 93 malicious files | 73.87640449438202% bypass
dt apis malgan tested against knn: 148 benign files and 208 malicious files | 41.57303370786517% bypass
dt apis malgan tested against gnb: 0 benign files and 356 malicious files | 0.0% bypass
dt apis malgan tested against lr: 247 benign files and 109 malicious files | 69.3820224719101% bypass
dt apis malgan tested against ensemble: 306 benign files and 50 malicious files | 85.95505617977528% bypass
rf apis malgan tested against mlp: 356 benign files and 0 malicious files | 100.0% bypass
rf apis malgan tested against dt: 355 benign files and 1 malicious files | 99.71910112359551% bypass
rf apis malgan tested against svm: 339 benign files and 17 malicious files | 95.2247191011236% bypass
rf apis malgan tested against knn: 356 benign files and 0 malicious files | 100.0% bypass
rf apis malgan tested against gnb: 0 benign files and 356 malicious files | 0.0% bypass
rf apis malgan tested against lr: 352 benign files and 4 malicious files | 98.87640449438202% bypass
rf apis malgan tested against ensemble: 355 benign files and 1 malicious files | 99.71910112359551% bypass
svm apis malgan tested against mlp: 356 benign files and 0 malicious files | 100.0% bypass
svm apis malgan tested against dt: 139 benign files and 217 malicious files | 39.04494382022472% bypass
svm apis malgan tested against rf: 344 benign files and 12 malicious files | 96.62921348314607% bypass
svm apis malgan tested against knn: 356 benign files and 0 malicious files | 100.0% bypass
svm apis malgan tested against gnb: 0 benign files and 356 malicious files | 0.0% bypass
svm apis malgan tested against lr: 355 benign files and 1 malicious files | 99.71910112359551% bypass
svm apis malgan tested against ensemble: 356 benign files and 0 malicious files | 100.0% bypass
knn apis malgan tested against mlp: 352 benign files and 4 malicious files | 98.87640449438202% bypass
knn apis malgan tested against dt: 0 benign files and 356 malicious files | 0.0% bypass
knn apis malgan tested against rf: 344 benign files and 12 malicious files | 96.62921348314607% bypass
knn apis malgan tested against svm: 128 benign files and 228 malicious files | 35.95505617977528% bypass
knn apis malgan tested against gnb: 0 benign files and 356 malicious files | 0.0% bypass
knn apis malgan tested against lr: 115 benign files and 241 malicious files | 32.30337078651686% bypass
knn apis malgan tested against ensemble: 128 benign files and 228 malicious files | 35.95505617977528% bypass
gnb apis malgan tested against mlp: 215 benign files and 141 malicious files | 60.39325842696629% bypass
gnb apis malgan tested against dt: 155 benign files and 201 malicious files | 43.53932584269663% bypass
gnb apis malgan tested against rf: 229 benign files and 127 malicious files | 64.32584269662921% bypass
gnb apis malgan tested against svm: 116 benign files and 240 malicious files | 32.58426966292135% bypass
gnb apis malgan tested against knn: 204 benign files and 152 malicious files | 57.30337078651685% bypass
gnb apis malgan tested against lr: 97 benign files and 259 malicious files | 27.247191011235955% bypass
gnb apis malgan tested against ensemble: 197 benign files and 159 malicious files | 55.33707865168539% bypass
lr apis malgan tested against mlp: 356 benign files and 0 malicious files | 100.0% bypass
lr apis malgan tested against dt: 310 benign files and 46 malicious files | 87.07865168539325% bypass
lr apis malgan tested against rf: 352 benign files and 4 malicious files | 98.87640449438202% bypass
lr apis malgan tested against svm: 356 benign files and 0 malicious files | 100.0% bypass
lr apis malgan tested against knn: 345 benign files and 11 malicious files | 96.91011235955057% bypass
lr apis malgan tested against gnb: 0 benign files and 356 malicious files | 0.0% bypass
lr apis malgan tested against ensemble: 356 benign files and 0 malicious files | 100.0% bypass
ensemble apis malgan tested against mlp: 356 benign files and 0 malicious files | 100.0% bypass
ensemble apis malgan tested against dt: 310 benign files and 46 malicious files | 87.07865168539325% bypass
ensemble apis malgan tested against rf: 356 benign files and 0 malicious files | 100.0% bypass
ensemble apis malgan tested against svm: 356 benign files and 0 malicious files | 100.0% bypass
ensemble apis malgan tested against knn: 356 benign files and 0 malicious files | 100.0% bypass
ensemble apis malgan tested against gnb: 0 benign files and 356 malicious files | 0.0% bypass
ensemble apis malgan tested against lr: 354 benign files and 2 malicious files | 99.43820224719101% bypass
