rf permissions malgan tested against dt: 18 benign files and 341 malicious files | 5.013927576601671% bypass
rf permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
rf permissions malgan tested against knn: 317 benign files and 42 malicious files | 88.3008356545961% bypass
rf permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
rf permissions malgan tested against lr: 359 benign files and 0 malicious files | 100.0% bypass
rf permissions malgan tested against mlp: 359 benign files and 0 malicious files | 100.0% bypass
rf permissions malgan tested against ensemble: 359 benign files and 0 malicious files | 100.0% bypass
dt permissions malgan tested against rf: 353 benign files and 6 malicious files | 98.32869080779945% bypass
dt permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
dt permissions malgan tested against knn: 302 benign files and 57 malicious files | 84.12256267409471% bypass
dt permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
dt permissions malgan tested against lr: 359 benign files and 0 malicious files | 100.0% bypass
dt permissions malgan tested against mlp: 359 benign files and 0 malicious files | 100.0% bypass
dt permissions malgan tested against ensemble: 359 benign files and 0 malicious files | 100.0% bypass
svm permissions malgan tested against rf: 277 benign files and 82 malicious files | 77.15877437325905% bypass
svm permissions malgan tested against dt: 0 benign files and 359 malicious files | 0.0% bypass
svm permissions malgan tested against knn: 205 benign files and 154 malicious files | 57.10306406685237% bypass
svm permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
svm permissions malgan tested against lr: 236 benign files and 123 malicious files | 65.73816155988858% bypass
svm permissions malgan tested against mlp: 336 benign files and 23 malicious files | 93.59331476323119% bypass
svm permissions malgan tested against ensemble: 229 benign files and 130 malicious files | 63.788300835654596% bypass
knn permissions malgan tested against rf: 359 benign files and 0 malicious files | 100.0% bypass
knn permissions malgan tested against dt: 0 benign files and 359 malicious files | 0.0% bypass
knn permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
knn permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
knn permissions malgan tested against lr: 359 benign files and 0 malicious files | 100.0% bypass
knn permissions malgan tested against mlp: 359 benign files and 0 malicious files | 100.0% bypass
knn permissions malgan tested against ensemble: 359 benign files and 0 malicious files | 100.0% bypass
gnb permissions malgan tested against rf: 359 benign files and 0 malicious files | 100.0% bypass
gnb permissions malgan tested against dt: 313 benign files and 46 malicious files | 87.1866295264624% bypass
gnb permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
gnb permissions malgan tested against knn: 292 benign files and 67 malicious files | 81.33704735376045% bypass
gnb permissions malgan tested against lr: 359 benign files and 0 malicious files | 100.0% bypass
gnb permissions malgan tested against mlp: 359 benign files and 0 malicious files | 100.0% bypass
gnb permissions malgan tested against ensemble: 359 benign files and 0 malicious files | 100.0% bypass
lr permissions malgan tested against rf: 293 benign files and 66 malicious files | 81.61559888579387% bypass
lr permissions malgan tested against dt: 18 benign files and 341 malicious files | 5.013927576601671% bypass
lr permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
lr permissions malgan tested against knn: 298 benign files and 61 malicious files | 83.008356545961% bypass
lr permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
lr permissions malgan tested against mlp: 359 benign files and 0 malicious files | 100.0% bypass
lr permissions malgan tested against ensemble: 301 benign files and 58 malicious files | 83.84401114206128% bypass
mlp permissions malgan tested against rf: 340 benign files and 19 malicious files | 94.70752089136491% bypass
mlp permissions malgan tested against dt: 331 benign files and 28 malicious files | 92.20055710306406% bypass
mlp permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
mlp permissions malgan tested against knn: 307 benign files and 52 malicious files | 85.51532033426183% bypass
mlp permissions malgan tested against gnb: 334 benign files and 25 malicious files | 93.03621169916435% bypass
mlp permissions malgan tested against lr: 359 benign files and 0 malicious files | 100.0% bypass
mlp permissions malgan tested against ensemble: 359 benign files and 0 malicious files | 100.0% bypass
ensemble permissions malgan tested against rf: 319 benign files and 40 malicious files | 88.85793871866295% bypass
ensemble permissions malgan tested against dt: 359 benign files and 0 malicious files | 100.0% bypass
ensemble permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
ensemble permissions malgan tested against knn: 6 benign files and 353 malicious files | 1.6713091922005572% bypass
ensemble permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
ensemble permissions malgan tested against lr: 348 benign files and 11 malicious files | 96.93593314763231% bypass
ensemble permissions malgan tested against mlp: 359 benign files and 0 malicious files | 100.0% bypass
