rf ngram-5 malgan tested against dt: 331 benign files and 26 malicious files | 92.71708683473389% bypass
rf ngram-5 malgan tested against svm: 335 benign files and 22 malicious files | 93.8375350140056% bypass
rf ngram-5 malgan tested against knn: 205 benign files and 152 malicious files | 57.422969187675065% bypass
rf ngram-5 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
rf ngram-5 malgan tested against lr: 324 benign files and 33 malicious files | 90.75630252100841% bypass
rf ngram-5 malgan tested against mlp: 281 benign files and 76 malicious files | 78.71148459383754% bypass
rf ngram-5 malgan tested against ensemble: 344 benign files and 13 malicious files | 96.35854341736695% bypass
dt ngram-5 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-5 malgan tested against svm: 353 benign files and 4 malicious files | 98.8795518207283% bypass
dt ngram-5 malgan tested against knn: 353 benign files and 4 malicious files | 98.8795518207283% bypass
dt ngram-5 malgan tested against gnb: 1 benign files and 356 malicious files | 0.2801120448179272% bypass
dt ngram-5 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
dt ngram-5 malgan tested against mlp: 354 benign files and 3 malicious files | 99.15966386554622% bypass
dt ngram-5 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-5 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-5 malgan tested against dt: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-5 malgan tested against knn: 292 benign files and 65 malicious files | 81.79271708683473% bypass
svm ngram-5 malgan tested against gnb: 341 benign files and 16 malicious files | 95.51820728291317% bypass
svm ngram-5 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-5 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
svm ngram-5 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
knn ngram-5 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
knn ngram-5 malgan tested against dt: 312 benign files and 45 malicious files | 87.39495798319328% bypass
knn ngram-5 malgan tested against svm: 239 benign files and 118 malicious files | 66.94677871148458% bypass
knn ngram-5 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
knn ngram-5 malgan tested against lr: 268 benign files and 89 malicious files | 75.07002801120449% bypass
knn ngram-5 malgan tested against mlp: 344 benign files and 13 malicious files | 96.35854341736695% bypass
knn ngram-5 malgan tested against ensemble: 333 benign files and 24 malicious files | 93.27731092436974% bypass
gnb ngram-5 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-5 malgan tested against dt: 330 benign files and 27 malicious files | 92.43697478991596% bypass
gnb ngram-5 malgan tested against svm: 325 benign files and 32 malicious files | 91.03641456582633% bypass
gnb ngram-5 malgan tested against knn: 355 benign files and 2 malicious files | 99.43977591036415% bypass
gnb ngram-5 malgan tested against lr: 345 benign files and 12 malicious files | 96.63865546218487% bypass
gnb ngram-5 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
gnb ngram-5 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-5 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-5 malgan tested against dt: 278 benign files and 79 malicious files | 77.87114845938376% bypass
lr ngram-5 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-5 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-5 malgan tested against gnb: 341 benign files and 16 malicious files | 95.51820728291317% bypass
lr ngram-5 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
lr ngram-5 malgan tested against ensemble: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-5 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-5 malgan tested against dt: 339 benign files and 18 malicious files | 94.9579831932773% bypass
mlp ngram-5 malgan tested against svm: 336 benign files and 21 malicious files | 94.11764705882352% bypass
mlp ngram-5 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
mlp ngram-5 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
mlp ngram-5 malgan tested against lr: 330 benign files and 27 malicious files | 92.43697478991596% bypass
mlp ngram-5 malgan tested against ensemble: 353 benign files and 4 malicious files | 98.8795518207283% bypass
ensemble ngram-5 malgan tested against rf: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-5 malgan tested against dt: 319 benign files and 38 malicious files | 89.35574229691878% bypass
ensemble ngram-5 malgan tested against svm: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-5 malgan tested against knn: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-5 malgan tested against gnb: 0 benign files and 357 malicious files | 0.0% bypass
ensemble ngram-5 malgan tested against lr: 357 benign files and 0 malicious files | 100.0% bypass
ensemble ngram-5 malgan tested against mlp: 357 benign files and 0 malicious files | 100.0% bypass
