rf permissions malgan tested against dt: 271 benign files and 88 malicious files | 75.4874651810585% bypass
rf permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
rf permissions malgan tested against knn: 305 benign files and 54 malicious files | 84.958217270195% bypass
rf permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
rf permissions malgan tested against lr: 359 benign files and 0 malicious files | 100.0% bypass
rf permissions malgan tested against mlp: 319 benign files and 40 malicious files | 88.85793871866295% bypass
rf permissions malgan tested against ensemble: 328 benign files and 31 malicious files | 91.36490250696379% bypass
dt permissions malgan tested against rf: 318 benign files and 41 malicious files | 88.57938718662952% bypass
dt permissions malgan tested against svm: 52 benign files and 307 malicious files | 14.484679665738161% bypass
dt permissions malgan tested against knn: 184 benign files and 175 malicious files | 51.25348189415042% bypass
dt permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
dt permissions malgan tested against lr: 22 benign files and 337 malicious files | 6.128133704735376% bypass
dt permissions malgan tested against mlp: 0 benign files and 359 malicious files | 0.0% bypass
dt permissions malgan tested against ensemble: 43 benign files and 316 malicious files | 11.977715877437326% bypass
svm permissions malgan tested against rf: 359 benign files and 0 malicious files | 100.0% bypass
svm permissions malgan tested against dt: 0 benign files and 359 malicious files | 0.0% bypass
svm permissions malgan tested against knn: 191 benign files and 168 malicious files | 53.2033426183844% bypass
svm permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
svm permissions malgan tested against lr: 359 benign files and 0 malicious files | 100.0% bypass
svm permissions malgan tested against mlp: 309 benign files and 50 malicious files | 86.0724233983287% bypass
svm permissions malgan tested against ensemble: 309 benign files and 50 malicious files | 86.0724233983287% bypass
knn permissions malgan tested against rf: 359 benign files and 0 malicious files | 100.0% bypass
knn permissions malgan tested against dt: 167 benign files and 192 malicious files | 46.51810584958218% bypass
knn permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
knn permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
knn permissions malgan tested against lr: 359 benign files and 0 malicious files | 100.0% bypass
knn permissions malgan tested against mlp: 316 benign files and 43 malicious files | 88.02228412256268% bypass
knn permissions malgan tested against ensemble: 327 benign files and 32 malicious files | 91.08635097493037% bypass
gnb permissions malgan tested against rf: 94 benign files and 265 malicious files | 26.18384401114206% bypass
gnb permissions malgan tested against dt: 184 benign files and 175 malicious files | 51.25348189415042% bypass
gnb permissions malgan tested against svm: 155 benign files and 204 malicious files | 43.17548746518106% bypass
gnb permissions malgan tested against knn: 21 benign files and 338 malicious files | 5.8495821727019495% bypass
gnb permissions malgan tested against lr: 79 benign files and 280 malicious files | 22.00557103064067% bypass
gnb permissions malgan tested against mlp: 0 benign files and 359 malicious files | 0.0% bypass
gnb permissions malgan tested against ensemble: 92 benign files and 267 malicious files | 25.62674094707521% bypass
lr permissions malgan tested against rf: 336 benign files and 23 malicious files | 93.59331476323119% bypass
lr permissions malgan tested against dt: 0 benign files and 359 malicious files | 0.0% bypass
lr permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
lr permissions malgan tested against knn: 0 benign files and 359 malicious files | 0.0% bypass
lr permissions malgan tested against gnb: 0 benign files and 359 malicious files | 0.0% bypass
lr permissions malgan tested against mlp: 0 benign files and 359 malicious files | 0.0% bypass
lr permissions malgan tested against ensemble: 0 benign files and 359 malicious files | 0.0% bypass
mlp permissions malgan tested against rf: 359 benign files and 0 malicious files | 100.0% bypass
mlp permissions malgan tested against dt: 289 benign files and 70 malicious files | 80.50139275766016% bypass
mlp permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
mlp permissions malgan tested against knn: 309 benign files and 50 malicious files | 86.0724233983287% bypass
mlp permissions malgan tested against gnb: 359 benign files and 0 malicious files | 100.0% bypass
mlp permissions malgan tested against lr: 359 benign files and 0 malicious files | 100.0% bypass
mlp permissions malgan tested against ensemble: 359 benign files and 0 malicious files | 100.0% bypass
ensemble permissions malgan tested against rf: 359 benign files and 0 malicious files | 100.0% bypass
ensemble permissions malgan tested against dt: 167 benign files and 192 malicious files | 46.51810584958218% bypass
ensemble permissions malgan tested against svm: 359 benign files and 0 malicious files | 100.0% bypass
ensemble permissions malgan tested against knn: 356 benign files and 3 malicious files | 99.16434540389972% bypass
ensemble permissions malgan tested against gnb: 343 benign files and 16 malicious files | 95.54317548746518% bypass
ensemble permissions malgan tested against lr: 359 benign files and 0 malicious files | 100.0% bypass
ensemble permissions malgan tested against mlp: 311 benign files and 48 malicious files | 86.62952646239555% bypass
